"feed_tables","DM %","CP %","CF %","CFat %","Ash %","Insol. ash %","NDF %","ADF %","Lignin %","WICW %","Starch %","Starch (enz.) %","Sugars %","Lactose %","GE kcal/kg","GE MJ/kg"
"Groundnut_meal,_oil_<_5%,_crude_fibre_<_9%",100,55.3,7.6,2.6,7,0.9,18.6,10.5,3.3,17.8,7.7,6.7,10.7,NA,4850,20.3
"Groundnut_meal,_oil_<_5%,_crude_fibre_>_9%",100,53.9,13.5,1.1,6.4,1,25.2,16.5,5.8,24.4,8.7,5.3,9.1,NA,4830,20.2
"Groundnut_meal,_oil_5-20%",100,48.4,7.2,10.1,5.9,0.9,18.2,10.1,3.1,17.3,8.8,5.3,10.4,NA,5180,21.7
"Jatropha_oil_meal,_oil_<_5%,_dehulled,_detoxified",100,68.7,6,1.8,11,0.9,13.7,6.8,0.2,12.8,9.6,1.1,3.4,NA,4810,20.1
"L-lysine_HCl",100,95.9,0,0,0,0,0,0,0,0,0,0,0,NA,4810,20.1
"L-threonine",100,73.5,0,0,0,0,0,0,0,0,0,0,0,NA,4140,17.3
"L-tryptophan",100,84.3,0,0,0,0,0,0,0,0,0,0,0,NA,6530,27.3
"L-valine",100,73.2,0,0,0,0,0,0,0,0,0,0,0,NA,5920,24.8
"Lard",100,0,0,99.5,0,0,0,0,0,0,0,0,0,NA,9380,39.3
"Lentils",100,26.4,4.9,1.5,3.5,0.3,14.3,5.4,1.6,14.1,45.3,43.5,4.8,NA,4410,18.5
"Limestone",100,0,0,0,97.2,0,0,0,0,0,0,0,0,NA,0,0
"Linseed_meal,_oil_<_5%",100,36.4,11.3,3.9,6.5,0.9,24.8,15.6,6.7,23.9,9.4,1.4,5.1,NA,4650,19.5
"Linseed_meal,_oil_>_5%",100,35.4,9.7,10.7,6.3,0.5,23.7,15,6.2,22.8,7.2,1.4,4.3,NA,4990,20.9
"Linseed,_whole",100,22.5,9.9,37.6,4.2,0.1,25.9,14.1,5.8,18,6,1.5,2.9,NA,6460,27
"Linseed,_whole,_extruded",100,22.5,9.9,37.6,4.2,0.1,25.9,14.1,5.8,18,6,1.5,2.9,NA,6460,27
"Liquid_potato_feed",100,12.8,4.7,1.3,7.1,2.4,11,5.9,1.6,10.1,45.5,43.5,2.1,NA,4020,16.8
"Lupin,_blue",100,33.3,15.9,5.9,3.5,0.08,23.8,18.9,1.2,36,4.7,0.4,5.8,NA,4840,20.3
"Lupin,_white",100,38,13.2,9.6,4,0.07,21.5,16,1,33.9,7,0.7,6.8,NA,5060,21.2
"Lupin,_white,_extruded",100,38,13.2,9.6,4,0.07,21.5,16,1,33.9,7,0.7,6.8,NA,5060,21.2
"Magnesium_acetate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_carbonate_RG",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_citrate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_hydroxide",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
"Magnesium_lactate",100,0,0,0,100,0,0,0,0,0,0,0,0,NA,0,0
