"FADN_code_letter","FADN_code_number","FADN_code_description","land_use_type","RICA_code_number","product_name","comment_match_FADN_RICA","notes","species","crop_family","TFI_crop_name","justif_IFT","EPK_ferti_crop_name","justif_EPK","feed_type","EUROSTAT_feedstuff","EUROSTAT_match_comment","SAA_Agreste_2020","feed_tables","IPCC_default_values"
"CVEGUG","10720","Fresh veget melons and strawberr Under glass","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCFL","10731","Cauliflower and broccoli","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Chou",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLTUCE","10732","Lettuce","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Salade;Chicoree / Endive / Scarole",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTOMAT","10733","Tomatoes","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Tomate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCRNSWT","10734","Sweet corn","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maize"
"CONION","10735","Onions","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Oignon / echalote",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGRLC","10736","Garlic","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Oignon / echalote",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCRT","10737","Carrots","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Carotte",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSTRBER","10738","Strawberries","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Fraise",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMELON","10739","Melons","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Melon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CVEGOTH","10790","Other vegetables","arable","410","Ensemble_des_legumes_frais","Grouped vegetables",NA,"vegetable",NA,"Artichaut;Carotte;Chou ;Oignon / echalote;Poireau",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFLWOUT","10810","Flowers and ornamental plants Outdoor","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFLWUG","10820","Flowers and ornamental plants Under glass","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFLWB","10830","Flower bulbs, corms and tubers","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFLWCUT","10840","Cut flowers and flower buds","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFLW","10850","Flowering and ornamental plants","arable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGRSTMP","10910","Temporary grass","arable","331","Prairies_temporaires","Direct match",NA,NA,"multi",NA,NA,"Prairie_temporaire","same denomination","feed_rough","Meadow_hay","Direct forage proxy","Prairies temporaires","Grass,_dehydrated","Grass-Clover Mixtures;Grass-clover mixtures"
"CFODMZ","10921","Green maize","arable","321","Mais_fourrage","Direct match","Maïs fourrager (n. c. semences) : maïs récolté plante entière avant maturité et utilisé comme fourrage, notamment en vert ou en ensilage.","cereal","poaceae","Mais fourrage","same denomination","Mais_fourrage","same denomination","feed_rough","ground_maize","Direct silage/forage match","Maïs fourrage et ensilage (plante entière)","Maize","Maize"
