"CODE_PRODUIT","LIBELLE_PRODUIT","SIQO_FILIERE","RICA_var","RICA_var_libelle","RICA_var_code","RICA_var_code_libelle","species","production_type"
"A670","SEL DE GUERANDE OU FLEUR DE SEL DE GUERANDE","IGP, CONDIMENTS ASSAISONNEMENTS HERBES ET PIMENTS",NA,NA,NA,NA,NA,NA
"A231","SAVIGNYLESBEAUNE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A1034","SAVENNIERES ROCHE AUX MOINES","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A112","SAVENNIERES","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A75","SAUTERNES","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A74","SAUSSIGNAC","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A122","SAUMURCHAMPIGNY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A110","SAUMUR","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A648","SAUCISSON SEC D AUVERGNE OU SAUCISSE SECHE D AUVERGNE","IGP, CONSERVES ET PREPARATIONS A BASE DE VIANDE ABATS ET SANG",NA,NA,NA,NA,"swine","meat"
"A629","SAUCISSE DE MORTEAU OU JESUS DE MORTEAU","IGP, CONSERVES ET PREPARATIONS A BASE DE VIANDE ABATS ET SANG",NA,NA,NA,NA,"swine","meat"
"A805","SAUCISSE DE MONTBELIARD","IGP, CONSERVES ET PREPARATIONS A BASE DE VIANDE ABATS ET SANG",NA,NA,NA,NA,"swine","meat"
"LA0516","SAPIN DE NOEL COUPE","LR, AUTRES",NA,NA,NA,NA,NA,NA
"A960","SAONEETLOIRE","IGP, VINS",NA,NA,NA,NA,NA,NA
"A230","SANTENAY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A109","SANCERRE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A435","SALERS","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A229","SAINTVERAN","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A686","SAINTSARDOS","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A228","SAINTROMAIN","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A677","SAINTPOURCAIN","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A285","SAINTPERAY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A108","SAINTNICOLASDEBOURGUEIL","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A433","SAINTNECTAIRE","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A741","SAINTMONT","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A669","SAINTMARCELLIN","IGP, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","cattle","milk"
"A71","SAINTJULIEN","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A284","SAINTJOSEPH","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A1003","SAINTGUILHEMLEDESERT","IGP, VINS",NA,NA,NA,NA,NA,NA
"A70","SAINTGEORGESSAINTEMILION","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A69","SAINTESTEPHE","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A68","SAINTEMILION GRAND CRU","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A67","SAINTEMILION","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A434","SAINTEMAURE DE TOURAINE","AOP & AOC, FROMAGE","CODE7","Produits animaux","22","Fromage, crème, beurre de vache","goats","milk"
"A897","SAINTEMARIELABLANCHE","IGP, VINS",NA,NA,NA,NA,NA,NA
"A72","SAINTECROIXDUMONT","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A478","SAINTBRIS","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A227","SAINTAUBIN","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A226","SAINTAMOUR","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
"A1022","SABLE DE CAMARGUE","IGP, VINS",NA,NA,NA,NA,NA,NA
"A225","RULLY","AOP & AOC, VINS",NA,NA,NA,NA,NA,NA
